URL,HTTP,Title,"Title Length",Description,"Description Length",Canonical,Robots,"OG Image","H1 Count",Schema,Breadcrumb,Flags
https://khatauat.com/,200,"خطوات | دليلك الذكي للإجراءات والخدمات في السعودية",50,"اعرف خطوات الإجراءات والخدمات في السعودية بوضوح، مع المتطلبات والروابط الرسمية والحاسبات والتحديثات التي تساعدك على الوصول للإجراء الصحيح.",138,https://khatauat.com/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,Organization|WebSite,NO,
https://khatauat.com/procedures,200,"دليل الإجراءات والخدمات في السعودية | خطوات",43,"استكشف دليل الإجراءات والخدمات في السعودية، واعرف المتطلبات والخطوات وروابط التنفيذ الرسمية مرتبة بطريقة واضحة وسهلة.",117,https://khatauat.com/procedures,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,,NO,
https://khatauat.com/calculators,200,"حاسبات السعودية: الضريبة والزكاة والرواتب والتمويل | خطوات",58,"حاسبات وأدوات رقمية للضريبة والزكاة ومكافأة نهاية الخدمة والرواتب والتمويل والنسب والتواريخ وتكاليف الأعمال في السعودية.",120,https://khatauat.com/calculators,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,BreadcrumbList|ListItem,YES,
https://khatauat.com/updates,200,"تحديثات الجهات والخدمات في السعودية | خطوات",43,"تابع أحدث التغييرات والتحديثات المتعلقة بالجهات والخدمات والإجراءات، مع توضيح أثر التغيير على خطوات التنفيذ.",108,https://khatauat.com/updates,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,,NO,
https://khatauat.com/about,200,"عن منصة خطوات | دليل الإجراءات الرقمية",38,"تعرف على منصة خطوات ودورها في تبسيط الإجراءات والخدمات وربط المستخدم بالمصادر والروابط الرسمية بطريقة واضحة وعملية.",115,https://khatauat.com/about,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,,NO,
https://khatauat.com/contact,200,"تواصل معنا | خطوات",18,"تواصل مع فريق خطوات للاستفسارات والملاحظات والمقترحات المتعلقة بالمحتوى والخدمات والأدوات الرقمية في المنصة.",108,https://khatauat.com/contact,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,,NO,TITLE_SHORT
https://khatauat.com/plans,200,"الباقات والاشتراكات | خطوات",27,"تعرف على باقات خطوات ومزاياها، واختر الخطة المناسبة للوصول إلى الأدوات والخدمات والميزات المتقدمة في المنصة.",108,https://khatauat.com/plans,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,,NO,
https://khatauat.com/service/commercial-registration-sole-proprietorship,200,"قيد سجل تجاري لمؤسسة فردية: الشروط والخطوات الرسمية",51,"اعرف خطوات قيد سجل تجاري لمؤسسة فردية عبر المركز السعودي للأعمال، من النفاذ الوطني حتى الدفع والتسجيل التلقائي في الجهات المرتبطة.",130,https://khatauat.com/service/commercial-registration-sole-proprietorship,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,BreadcrumbList|ListItem|Service|WebPage|Country|Organization|ServiceChannel,YES,
https://khatauat.com/service/issue-commercial-license-balady,200,"إصدار رخصة تجارية عبر بلدي: الخطوات والمتطلبات",46,"المسار الرسمي لإصدار رخصة تجارية عبر بلدي: بيانات المنشأة والنشاط والموقع والمتطلبات والسداد أو إحالة الطلب للبلدية بحسب نوع النشاط.",132,https://khatauat.com/service/issue-commercial-license-balady,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,BreadcrumbList|ListItem|Service|WebPage|Country|Organization|ServiceChannel,YES,
https://khatauat.com/service/issue-building-permit-balady,200,"إصدار رخصة بناء عبر بلدي: المسار الكامل والمتطلبات",50,"اعرف رحلة إصدار رخصة البناء عبر بلدي من تفويض المكتب الهندسي والتصميم والفحص والتعاقدات والتأمين حتى إصدار الرخصة والتكامل مع الجهات.",133,https://khatauat.com/service/issue-building-permit-balady,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",https://khatauat.com/assets/uploads/logo-20260827085145-f9f670.png,1,BreadcrumbList|ListItem|Service|WebPage|Country|Organization|ServiceChannel,YES,
